1q_gates,E_route_abstract,E_translate,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,active_physical_qubit_count,active_physical_qubits,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routed_1q_gates,routed_abstract_2q_gates,routed_gate_count,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,translated_1q_gates,two_qubit_depth,unique_2q_edge_count,unique_physical_edges_used
223,4.266667,1.0,0.222997,0.903018,0.068469,9.167875,9.582857,0.230743,64,10,"[50, 51, 52, 58, 68, 69, 70, 71, 78, 89]",,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003133, 'TVD_std': 0.004073, 'JSD_std': 0.00216}",0.013528,SABRE_O3,90,27,64,287,"{'value': 0.7186, 'status': 'VALID'}",20,15,9,35,6.844769,,62,223,64,287,49,,,COMPILED_UNVERIFIED,4.266667,223,28,9,9
88,2.8,1.0,0.055074,0.993943,0.004371,3.963322,3.982179,0.067,14,4,"[0, 1, 2, 3]",,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.000805, 'TVD_std': 0.004836, 'JSD_std': 0.000581}",2.14886,PROMETHEUS,48,28,14,102,"{'value': 0, 'status': 'VALID'}",8,5,7,13,3.556393,,36,88,14,102,9,,,COMPILED_UNVERIFIED,2.8,88,13,3,3
1,1.0,1.0,0.25977,0.869592,0.068708,1.388457,1.974968,0.1294,6,7,"[117, 118, 125, 126, 127, 128, 129]",0.8706,0.006579,GHZ_7,"{'Hellinger_fidelity_std': 0.003349, 'TVD_std': 0.003318, 'JSD_std': 0.00186}",0.488508,TKET,30,29,6,7,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.105008,,1,1,6,7,0,,,COMPILED_UNVERIFIED,1.0,41,6,6,6
1,1.0,1.0,0.29804,0.830235,0.091042,1.508128,2.296489,0.1676,8,9,"[105, 109, 117, 118, 125, 126, 127, 128, 129]",0.8324,0.007321,GHZ_9,"{'Hellinger_fidelity_std': 0.003807, 'TVD_std': 0.003779, 'JSD_std': 0.002185}",0.505048,TKET,38,30,8,9,"{'value': 0, 'status': 'VALID'}",1,8,10,9,1.124692,,1,1,8,9,0,,,COMPILED_UNVERIFIED,1.0,53,8,8,8
211,5.0,1.0,0.178202,0.937496,0.034666,4.151627,4.50747,0.103666,35,5,"[0, 1, 2, 3, 4]",,,QAOA_5_MAXCUT,"{'Hellinger_fidelity_std': 0.002375, 'TVD_std': 0.004609, 'JSD_std': 0.001358}",0.059341,PROMETHEUS,141,31,35,246,"{'value': 0.7973, 'status': 'VALID'}",10,7,8,17,3.044538,,112,211,35,246,28,,,COMPILED_UNVERIFIED,5.0,211,32,4,4
156,3.333333,1.0,0.078692,0.987654,0.008913,5.927764,5.964005,0.092525,30,6,"[0, 1, 2, 3, 4, 5]",,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.001147, 'TVD_std': 0.004561, 'JSD_std': 0.000828}",1.306608,PROMETHEUS,84,32,30,186,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.333516,,58,156,30,186,21,,,COMPILED_UNVERIFIED,3.333333,156,27,5,5
15,2.5,1.4,0.227808,0.8989,0.054664,3.080604,3.468533,0.136809,15,4,"[125, 126, 127, 128]",,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.003123, 'TVD_std': 0.004626, 'JSD_std': 0.001751}",0.615158,TKET,104,33,21,30,"{'value': 0.7929, 'status': 'VALID'}",8,6,7,14,2.153286,,7,15,15,30,9,,,COMPILED_UNVERIFIED,3.5,165,17,3,3
15,1.333333,1.5,0.064182,0.991778,0.005928,5.95583,5.97678,0.072825,12,6,"[117, 125, 126, 127, 128, 129]",,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.000911, 'TVD_std': 0.004177, 'JSD_std': 0.000656}",0.735646,TKET,63,34,18,27,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.49981,,4,15,12,27,3,,,COMPILED_UNVERIFIED,2.0,147,14,5,5
1,1.0,1.0,0.315447,0.810888,0.101955,1.585379,2.476389,0.1879,9,10,"[105, 106, 109, 117, 118, 125, 126, 127, 128, 129]",0.8121,0.007656,GHZ_10,"{'Hellinger_fidelity_std': 0.003817, 'TVD_std': 0.003807, 'JSD_std': 0.00222}",0.498528,TKET,42,35,9,10,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.192975,,1,1,9,10,0,,,COMPILED_UNVERIFIED,1.0,59,9,9,9
440,2.8,1.0,0.2961,0.832336,0.121878,8.016332,8.477792,0.335997,112,9,"[57, 65, 66, 67, 68, 77, 85, 86, 87]",,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.004334, 'TVD_std': 0.004428, 'JSD_std': 0.002995}",0.010882,SABRE_O3,195,36,112,552,"{'value': 0.4945, 'status': 'VALID'}",12,40,20,52,6.179188,,128,440,112,552,72,,,COMPILED_UNVERIFIED,2.8,440,67,8,8
224,3.538462,1.0,0.115263,0.973605,0.019042,7.846441,7.922949,0.13045,46,8,"[0, 1, 2, 3, 4, 5, 6, 7]",,,CrossEnt_8,"{'Hellinger_fidelity_std': 0.001727, 'TVD_std': 0.004313, 'JSD_std': 0.001243}",0.078543,PROMETHEUS,120,37,46,270,"{'value': 0, 'status': 'VALID'}",16,13,11,29,6.629501,,80,224,46,270,33,,,COMPILED_UNVERIFIED,3.538462,224,41,7,7
1,1.0,1.0,0.275819,0.853635,0.077566,1.442232,2.140615,0.1454,7,8,"[105, 117, 118, 125, 126, 127, 128, 129]",0.8546,0.006909,GHZ_8,"{'Hellinger_fidelity_std': 0.003627, 'TVD_std': 0.003631, 'JSD_std': 0.002032}",0.501939,TKET,34,38,7,8,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.132894,,1,1,7,8,0,,,COMPILED_UNVERIFIED,1.0,47,7,7,7
36,3.538462,1.869565,0.31884,0.807017,0.137623,8.707941,8.851667,0.343058,46,12,"[105, 106, 107, 108, 109, 117, 118, 125, 126, 127, 128, 129]",,,QAOA_9_MAXCUT,"{'Hellinger_fidelity_std': 0.004007, 'TVD_std': 0.004543, 'JSD_std': 0.002935}",0.833908,TKET,230,39,86,82,"{'value': 0.555, 'status': 'VALID'}",18,13,10,31,7.380822,,16,36,46,82,33,,,COMPILED_UNVERIFIED,6.615385,456,43,12,12
13,1.0,1.0,0.156263,0.95176,0.024581,1.139677,1.340025,0.0481,2,3,"[87, 88, 89]",0.9519,0.004194,GHZ_3,"{'Hellinger_fidelity_std': 0.002005, 'TVD_std': 0.002004, 'JSD_std': 0.00104}",0.071864,SABRE_O3,10,40,2,15,"{'value': 0, 'status': 'VALID'}",1,2,4,3,1.036526,,7,13,2,15,0,,,COMPILED_UNVERIFIED,1.0,13,2,2,2
23,1.333333,1.0,0.042202,0.996441,0.002568,2.979806,2.989772,0.0486,4,3,"[87, 88, 89]",,,CrossEnt_3,"{'Hellinger_fidelity_std': 0.000587, 'TVD_std': 0.004352, 'JSD_std': 0.000424}",0.007545,SABRE_O3,18,41,4,27,"{'value': 0, 'status': 'VALID'}",6,3,6,9,2.730249,,13,23,4,27,1,,,COMPILED_UNVERIFIED,1.333333,23,4,2,2
50,2.75,1.636364,0.092934,0.982801,0.012415,6.903462,6.950484,0.107937,66,7,"[117, 118, 125, 126, 127, 128, 129]",,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001339, 'TVD_std': 0.004195, 'JSD_std': 0.000965}",1.147861,TKET,327,42,108,116,"{'value': 0.3506, 'status': 'VALID'}",10,24,16,34,6.243318,,23,50,66,116,42,,,COMPILED_UNVERIFIED,4.5,646,61,6,6
